#options: 1920x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=11318 vbv_bufsize=22636 crf_max=0.0 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:71 out:71 type:B dur:2 cpbdur:2 q:31.43 aq:30.20 tex:57090 mv:17333 misc:3369 imb:141 pmb:1306 smb:6713 d:s ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:31.43 aq:30.71 tex:260 mv:1065 misc:1947 imb:2 pmb:396 smb:7762 d:s ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:31.43 aq:31.93 tex:38849 mv:13780 misc:2851 imb:87 pmb:963 smb:7110 d:- ref:0 ;
in:76 out:74 type:P dur:2 cpbdur:2 q:31.43 aq:24.24 tex:237547 mv:28932 misc:5633 imb:1016 pmb:2831 smb:4313 d:s ref:0 ;
in:74 out:75 type:B dur:2 cpbdur:2 q:31.43 aq:28.25 tex:1100 mv:1570 misc:2218 imb:10 pmb:486 smb:7664 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:31.43 aq:31.42 tex:37985 mv:14064 misc:2935 imb:113 pmb:1010 smb:7037 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:31.43 aq:24.45 tex:219474 mv:29422 misc:5776 imb:1041 pmb:2914 smb:4205 d:s ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:31.43 aq:30.79 tex:32606 mv:13842 misc:2976 imb:60 pmb:1005 smb:7095 d:s ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:31.43 aq:28.16 tex:394 mv:915 misc:1883 imb:7 pmb:361 smb:7792 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:31.43 aq:30.01 tex:661 mv:683 misc:1928 imb:1 pmb:387 smb:7772 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:31.43 aq:24.72 tex:233924 mv:29190 misc:5622 imb:926 pmb:2809 smb:4425 d:s ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:31.43 aq:30.31 tex:43330 mv:16160 misc:3254 imb:61 pmb:1274 smb:6825 d:s ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:31.43 aq:32.33 tex:31017 mv:13131 misc:2772 imb:45 pmb:975 smb:7140 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:31.43 aq:31.92 tex:626 mv:797 misc:1929 imb:1 pmb:386 smb:7773 d:- ref:0 ;
in:86 out:85 type:P dur:2 cpbdur:2 q:31.43 aq:24.44 tex:211878 mv:25749 misc:5589 imb:601 pmb:2783 smb:4776 d:s ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:31.43 aq:32.77 tex:24049 mv:12320 misc:2727 imb:27 pmb:921 smb:7212 d:t ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:31.43 aq:24.66 tex:188678 mv:25386 misc:5512 imb:604 pmb:2738 smb:4818 d:s ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:31.43 aq:31.70 tex:23839 mv:11830 misc:2755 imb:24 pmb:913 smb:7223 d:t ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:31.43 aq:31.45 tex:559 mv:1620 misc:2205 imb:3 pmb:519 smb:7638 d:s ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:31.43 aq:30.63 tex:749 mv:1159 misc:1972 imb:4 pmb:412 smb:7744 d:- ref:0 ;
in:92 out:91 type:P dur:2 cpbdur:2 q:31.43 aq:24.56 tex:210133 mv:24621 misc:5598 imb:579 pmb:2720 smb:4861 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:31.43 aq:32.22 tex:21523 mv:11070 misc:2623 imb:25 pmb:860 smb:7275 d:t ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:31.43 aq:24.14 tex:239829 mv:28611 misc:5616 imb:817 pmb:2810 smb:4533 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:31.43 aq:30.34 tex:33782 mv:14496 misc:3202 imb:38 pmb:1153 smb:6969 d:s ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:31.43 aq:26.06 tex:411 mv:1318 misc:2023 imb:7 pmb:401 smb:7752 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:31.43 aq:32.30 tex:21624 mv:9928 misc:2824 imb:17 pmb:863 smb:7280 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:31.43 aq:24.68 tex:178980 mv:25387 misc:5713 imb:579 pmb:2797 smb:4784 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:31.43 aq:30.96 tex:21766 mv:9577 misc:2825 imb:26 pmb:807 smb:7327 d:t ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:31.43 aq:29.96 tex:491 mv:1680 misc:2181 imb:3 pmb:487 smb:7670 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:31.43 aq:32.16 tex:422 mv:1051 misc:1983 imb:1 pmb:391 smb:7768 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:31.43 aq:24.57 tex:212389 mv:27728 misc:5747 imb:748 pmb:2848 smb:4564 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:31.43 aq:29.30 tex:51742 mv:15397 misc:3445 imb:58 pmb:1340 smb:6762 d:s ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:31.43 aq:31.57 tex:21622 mv:9491 misc:2687 imb:33 pmb:799 smb:7328 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:31.43 aq:30.98 tex:465 mv:1003 misc:2052 imb:8 pmb:418 smb:7734 d:- ref:0 ;
in:106 out:105 type:P dur:2 cpbdur:2 q:31.43 aq:23.97 tex:191999 mv:23153 misc:5736 imb:516 pmb:2751 smb:4893 d:s ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:31.43 aq:32.19 tex:19166 mv:9086 misc:2588 imb:21 pmb:770 smb:7369 d:t ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:31.43 aq:24.61 tex:172333 mv:23471 misc:5636 imb:528 pmb:2805 smb:4827 d:s ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:31.43 aq:31.83 tex:18858 mv:8653 misc:2569 imb:26 pmb:749 smb:7385 d:t ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:31.43 aq:29.36 tex:445 mv:1173 misc:1910 imb:9 pmb:379 smb:7772 d:s ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:31.43 aq:32.05 tex:531 mv:850 misc:1835 imb:1 pmb:365 smb:7794 d:- ref:0 ;
in:112 out:111 type:P dur:2 cpbdur:2 q:31.43 aq:24.30 tex:193430 mv:23967 misc:5747 imb:594 pmb:2758 smb:4808 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:31.43 aq:30.42 tex:18391 mv:9067 misc:2582 imb:26 pmb:759 smb:7375 d:t ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:31.43 aq:24.46 tex:230987 mv:27648 misc:5557 imb:859 pmb:2827 smb:4474 d:s ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:31.43 aq:31.02 tex:30342 mv:12807 misc:3075 imb:42 pmb:1037 smb:7081 d:s ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:31.43 aq:26.96 tex:386 mv:1261 misc:2009 imb:4 pmb:406 smb:7750 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:31.43 aq:32.20 tex:20704 mv:9425 misc:2663 imb:20 pmb:820 smb:7320 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:31.43 aq:25.08 tex:168350 mv:24395 misc:5767 imb:621 pmb:2750 smb:4789 d:s ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:31.43 aq:31.11 tex:19457 mv:9173 misc:2682 imb:27 pmb:785 smb:7348 d:t ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:31.43 aq:27.53 tex:348 mv:1222 misc:1966 imb:6 pmb:403 smb:7751 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:31.43 aq:29.05 tex:757 mv:1219 misc:2056 imb:2 pmb:458 smb:7700 d:- ref:0 ;
in:122 out:121 type:P dur:2 cpbdur:2 q:31.43 aq:24.82 tex:204350 mv:24196 misc:5694 imb:602 pmb:2803 smb:4755 d:s ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:31.43 aq:32.25 tex:18597 mv:9209 misc:2618 imb:25 pmb:772 smb:7363 d:t ref:0 ;
in:126 out:123 type:P dur:2 cpbdur:2 q:31.43 aq:24.40 tex:221454 mv:28286 misc:5588 imb:877 pmb:2801 smb:4482 d:s ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:31.43 aq:31.29 tex:32067 mv:13663 misc:3214 imb:45 pmb:1122 smb:6993 d:s ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:31.43 aq:30.85 tex:483 mv:1364 misc:1977 imb:8 pmb:406 smb:7746 d:s ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:31.43 aq:32.47 tex:21832 mv:9927 misc:2753 imb:15 pmb:874 smb:7271 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:31.43 aq:24.63 tex:192391 mv:28301 misc:5612 imb:931 pmb:2949 smb:4280 d:s ref:0 ;
in:128 out:128 type:B dur:2 cpbdur:2 q:31.43 aq:30.79 tex:22289 mv:10358 misc:2993 imb:42 pmb:932 smb:7186 d:t ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:31.43 aq:29.72 tex:605 mv:1487 misc:2076 imb:4 pmb:451 smb:7705 d:s ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:31.43 aq:27.20 tex:905 mv:1215 misc:2032 imb:5 pmb:410 smb:7745 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:31.43 aq:24.42 tex:218491 mv:28854 misc:5727 imb:1018 pmb:2851 smb:4291 d:s ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:31.43 aq:28.71 tex:55974 mv:15826 misc:3784 imb:76 pmb:1442 smb:6642 d:s ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:31.43 aq:32.29 tex:22395 mv:9788 misc:2697 imb:43 pmb:843 smb:7274 d:s ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:31.43 aq:27.59 tex:584 mv:998 misc:2058 imb:7 pmb:417 smb:7736 d:- ref:0 ;
in:138 out:135 type:P dur:2 cpbdur:2 q:31.43 aq:24.39 tex:256286 mv:30169 misc:5745 imb:1085 pmb:2824 smb:4251 d:s ref:0 ;
in:136 out:136 type:B dur:2 cpbdur:2 q:31.43 aq:29.27 tex:64548 mv:18484 misc:3616 imb:118 pmb:1473 smb:6569 d:s ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:31.43 aq:30.25 tex:433 mv:985 misc:2110 imb:9 pmb:426 smb:7725 d:s ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:31.43 aq:32.76 tex:31783 mv:12776 misc:2769 imb:61 pmb:971 smb:7128 d:- ref:0 ;
in:142 out:139 type:P dur:2 cpbdur:2 q:31.43 aq:25.03 tex:255684 mv:30040 misc:5444 imb:1027 pmb:2795 smb:4338 d:s ref:0 ;
in:140 out:140 type:B dur:2 cpbdur:2 q:31.43 aq:30.75 tex:50229 mv:16849 misc:3322 imb:110 pmb:1300 smb:6750 d:s ref:0 ;
in:139 out:141 type:b dur:2 cpbdur:2 q:31.43 aq:29.23 tex:533 mv:1357 misc:1998 imb:5 pmb:416 smb:7739 d:s ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:31.43 aq:32.05 tex:33085 mv:13314 misc:2825 imb:58 pmb:968 smb:7134 d:- ref:0 ;
in:145 out:143 type:P dur:2 cpbdur:2 q:31.43 aq:25.01 tex:211507 mv:26837 misc:5504 imb:747 pmb:2762 smb:4651 d:s ref:0 ;
in:143 out:144 type:B dur:2 cpbdur:2 q:31.43 aq:27.28 tex:863 mv:1646 misc:2483 imb:10 pmb:547 smb:7603 d:s ref:0 ;
in:144 out:145 type:b dur:2 cpbdur:2 q:31.43 aq:32.97 tex:31929 mv:11803 misc:2668 imb:85 pmb:850 smb:7225 d:- ref:0 ;
in:148 out:146 type:P dur:2 cpbdur:2 q:31.43 aq:24.68 tex:223493 mv:27055 misc:5468 imb:832 pmb:2740 smb:4588 d:s ref:0 ;
in:146 out:147 type:B dur:2 cpbdur:2 q:31.43 aq:27.01 tex:606 mv:1729 misc:2137 imb:10 pmb:461 smb:7689 d:s ref:0 ;
in:147 out:148 type:b dur:2 cpbdur:2 q:31.43 aq:31.71 tex:29840 mv:11927 misc:2689 imb:62 pmb:870 smb:7228 d:- ref:0 ;
in:152 out:149 type:P dur:2 cpbdur:2 q:31.43 aq:25.42 tex:198909 mv:26693 misc:5686 imb:790 pmb:2747 smb:4623 d:s ref:0 ;
in:150 out:150 type:B dur:2 cpbdur:2 q:31.43 aq:31.08 tex:28364 mv:12237 misc:2887 imb:61 pmb:904 smb:7195 d:t ref:0 ;
in:149 out:151 type:b dur:2 cpbdur:2 q:31.43 aq:26.68 tex:364 mv:1106 misc:1874 imb:4 pmb:384 smb:7772 d:s ref:0 ;
